Vin,Year,Make,Model,Style,Type,Doors,Fuel Type,City Mileage,Highway Mileage,Engine Type,Transmission,Drivetrain,MSRP
1C3LC46K88N218419,2008,Chrysler,Sebring,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,21 miles/gallon,30 miles/gallon,2.4L L4 DOHC 16V,4A,FWD,"$19,110 USD"
5FRYD4H40EB043329,2014,Acura,MDX,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,Gasoline,18 miles/gallon,27 miles/gallon,3.5L V6 SOHC 24V,6A,AWD,"$48,565 USD"
JTJBARBZ8H2131356,2017,Lexus,NX 200t,SPORT UTILITY 4-DR,Wagon,5,Gasoline,22 miles/gallon,28 miles/gallon,2.0L L4 DOHC 16V,6A,AWD,"$36,485 USD"
1FMCU0JDXHUD51288,2017,Ford,Escape,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,,,1.5L L4 DOHC 16V,6A,FWD,"$29,100 USD"
19XFB2F84CE103110,2012,Honda,Civic,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,28 miles/gallon,39 miles/gallon,1.8L L4 SOHC 16V,5A,FWD,"$20,505 USD"
1HGCR2F57DA217161,2013,Honda,Accord,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,26 miles/gallon,35 miles/gallon,2.4L L4 DOHC 16V,CVT,FWD,"$24,190 USD"
5TFFY5F15EX151074,2014,Toyota,Tundra,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,13 miles/gallon,18 miles/gallon,5.7L V8 DOHC 32V,6A,RWD,"$38,845 USD"
1FTEW1CP4HFA10025,2017,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,15 miles/gallon,22 miles/gallon,2.7L V6 DOHC 24V,6A,RWD,"$50,280 USD"
JHMGK5H71GX010365,2016,Honda,Fit,HATCHBACK 4-DR,Hatchback/Liftback/Notchback,5,Gasoline,32 miles/gallon,38 miles/gallon,1.5L L4 SOHC 16V,CVT,FWD,"$18,500 USD"
2GNAXSEV9J6261563,2018,Chevrolet,Equinox,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,Gasoline,24 miles/gallon,30 miles/gallon,1.5L L4 DOHC 16V TURBO,6A,AWD,"$28,500 USD"
2B3CA4CT6AH203254,2010,Dodge,Charger,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,18 miles/gallon,26 miles/gallon,5.7L V8 OHV 16V,5A,RWD,"$24,390 USD"
5TFEV54138X033844,2008,Toyota,Tundra,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,14 miles/gallon,18 miles/gallon,5.7L V8 DOHC 32V,6A,RWD,"$30,935 USD"
JTMHY7AJ2B5012068,2011,Toyota,Land Cruiser,SPORT UTILITY 4-DR,Wagon,4,Gasoline,13 miles/gallon,18 miles/gallon,5.7L V8 DOHC 32V,6A,4WD,"$68,020 USD"
2C3CDXBG0GH246366,2016,Dodge,Charger,SEDAN 4-DR,Sedan/Saloon,4,Gasoline,19 miles/gallon,31 miles/gallon,3.6L V6 DOHC 24V,8A,RWD,"$27,995 USD"
1FTFW1EG2GFA44822,2016,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,15 miles/gallon,21 miles/gallon,3.5 V6,6A,4WD,"$38,100 USD"
1C6RR7NT8GS339958,2016,RAM,1500,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,16 miles/gallon,23 miles/gallon,5.7L V8 OHV 16V,8A,4WD,"$44,735 USD"
5GZCZ63426S877122,2006,Saturn,Vue,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,,19 miles/gallon,25 miles/gallon,3.5L V6 SOHC 24V,5A,AWD,"$23,045 USD"
JHLRD78882C076472,2002,Honda,CR-V,SPORT UTILITY 4-DR,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,Gasoline,21 - 22 miles/gallon,25 - 26 miles/gallon,2.4L L4 DOHC 16V,4A,4WD,"$21,500 USD"
2T2ZK1BAXEC148338,2014,Lexus,RX 350,SPORT UTILITY 4-DR,Wagon,5,Gasoline,18 miles/gallon,25 miles/gallon,3.5L V6 DOHC 24V,5A,FWD,"$39,760 USD"
1FTEW1EGXGKE59065,2016,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,15 miles/gallon,21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$42,135 USD"
1FTFW1ET3DKD13314,2013,Ford,F-150,CREW CAB PICKUP 4-DR,Pickup,,Gasoline,12 - 15 miles/gallon,16 - 21 miles/gallon,3.5L V6 TURBO,6A,4WD,"$38,265 USD"
